;;life and good health;life and good health;education, skill-building and knowledge;education, skill-building and knowledge;education, skill-building and knowledge;education, skill-building and knowledge;labour and financial inclusion;labour and financial inclusion;labour and financial inclusion;labour and financial inclusion;participation in decisionmaking;participation in decisionmaking;participation in decisionmaking
;GGPI;fraction of life expectancy at birth spent in good health;fraction of life expectancy at birth spent in good health;population with completed secondary education or higher;population with completed secondary education or higher;youth not in education, employment or training ;youth not in education, employment or training ;labour force participation rate among prime-working-age individuals who are living as part of a household comprising couple and at least one child under age 6;labour force participation rate among prime-working-age individuals who are living as part of a household comprising couple and at least one child under age 6;account ownership at a financial institution or with a mobile-money-service provider ;account ownership at a financial institution or with a mobile-money-service provider ;share of seats held by women;share of seats held by women;
country;value;female;male;female;male;female;male;female;male;female;male;in parliament;in local government;Share of managerial positions held by women
North Macedonia;0.776;87.52014145;89.30022549;61.6777916;74.98310852;17.92;18.78;75.5;96.9;79.91;90.62;42.5;36.73163418;21.57152802
Peru;0.799;85.79869219;88.2141019;49.86999893;60.5;26;19.51;67.6;97.1;53.03;62.32;38.75968992;41.4;35.36616911
Philippines;0.772;86.88326502;89.22921669;59.2;50.8;20.77;14.32;42.9;94.2;47.42;55.59;27.46268657;29.1;53.37481589
Poland;0.798;87.05822445;88.47546614;85.94555664;89.82248688;11.94;10.51;66.9;92.6;95.69;95.75;27.5;30.4;42.9772894
Singapore;0.783;87.43497073;89.321308;72.30107117;77.04052734;6.03;6.35;67.7;94.3;96.87;98.27;29.12621359;— ;38.13704724
Tanzania (United Republic of);0.714;85.55883959;88.14887708;3.979624934;7.245784917;19.29;9.06;86.1;99.4;46.03;59.37;37.40458015;30.7;27.91242363
United Arab Emirates;0.783;84.39877125;87.67815468;73.12172699;73.73477173;17.68;6.4;37.8;98.5;86.68;85.39;50;— ;23.12810908
United States;0.787;83.02617285;85.491827;91.30084991;90.55330658;11.72;10.77;68.3;95.1;96.79;93.09;27.90262172;26.23762376;41.00122397
Viet Nam;0.758;87.42542921;89.74600638;30.40978836;34.91277483;12.7;10.04;88.1;98.4;30.42;31.21;30.26052104;29;25.60238411
Bhutan;0.625;85.33292315;87.78717022;13.78464031;20.41818047;12.16;6.93;72.9;97.2;27.68;38.99;16.90140845;12.8;39.71204388
Bosnia and Herzegovina;0.622;86.84410931;88.27632016;59.39936829;79.51641083;19.87;18.77;56.7;92.5;70.37;88.71;17.54385965;19.6;24.18210936
Botswana;0.675;85.26763572;88.08549594;37.6;41.2;40.39;33.71;65.6;95.8;46.79;56.21;11.11111111;14.9;58.48220749
Brazil;0.68;84.85763521;87.56994625;55.47000122;51.43000031;28.27;18.63;60.9;95.6;80.87;87.05;17.67676768;15.7;38.7832959
Cambodia;0.619;86.63880187;88.96235853;6.43545879;16.93704432;12.59;10.04;82.3;98.4;32.52;34.41;19.2513369;16.9;30.99220317
Colombia;0.693;86.08083385;87.90956856;55.36999893;52.5;35.7;18.74;54.3;97.7;56.2;63.51;29.35153584;17.9;35.31068647
Congo (Democratic Republic of the);0.637;85.53596895;88.01927993;21.63013752;39.29420076;33.88;28.66;73.3;89.7;24.22;27.39;14.77832512;— ;41.9441146
Cyprus;0.641;85.72484282;88.54651041;73.36621857;75.64958191;13.71;13.85;75.5;99.3;92.7;93.62;14.28571429;16.1;21.02089552
Czechia;0.68;86.13645723;87.77209478;87.78894881;94.13927431;8.42;4.9;39;98.3;93.44;96.48;23.84341637;29;28.36730517
El Salvador;0.66;85.71280851;87.34891838;31.95000076;39.717992;37.38;14.1;40.3;96.9;29.23;44.8;27.38095238;30.4;41.06196696
Indonesia;0.652;87.02448762;89.22517453;34.62979126;41.63451004;27.19;17.68;55.01;98.99;52.3;51.18;21.56521739;15.7;31.66473098
Japan;0.627;86.82289263;89.13509064;91.6;86.6;3.76;2.73;65.4;80.6;98.84;98.12;15.49295775;15.6;12.90322581
Liberia;0.604;84.5792805;86.86684625;17;30.6;41.55;39.85;73.1;85.9;44.2;59.34;9.708737864;— ;52.45111498
Malawi;0.606;85.62640687;88.42454164;12.3581061;14.48654209;24.89;13.67;68.9;86;38.14;47.75;20.7253886;14.6;15.62426105
Nepal;0.618;85.33956541;88.02902133;18.45714032;29.5125702;45.82;21.16;33.7;78.3;49.9;58.61;33.93393393;41.3;13.16710825
Niger;0.662;86.45084893;89.06635346;4.03939876;6.12677238;77.21;56.94;67.7;97.7;10.91;19.94;30.72289157;27.1;49.31062537
Panama;0.646;85.34949484;87.92152629;53.47999954;49.18000031;22.19;13.23;51;99.2;43.11;46.95;22.53521127;9;39.25278889
Paraguay;0.695;85.38251497;88.19281658;43.47999954;41.40000153;27.64;10.33;60.8;98.6;55.35;53.49;16.8;20.8;39.95537209
Romania;0.658;87.61554696;89.3630102;65.99899046;75.36542495;21.48;14.74;60.5;93.2;65.74;72.68;18.88412017;14.1;35.83479981
Senegal;0.623;85.39782222;87.98123516;5.613149487;23.81442717;45.86;22.37;63.43;92.56;50.3;62.31;46.06060606;47.2;15.22132243
Slovakia;0.697;86.88710063;88.40049614;85.01640813;91.62485117;11.49;10.68;39.4;97;94.01;97.36;22;26.9;37.99268759
Thailand;0.677;87.11594457;88.65384149;36.38923539;36.25458899;18.24;11.36;62.2;97.8;92.7;98.61;14.4092219;20.4;35.49609775
Togo;0.664;85.97764582;88.91021075;8.426151116;24.6347749;31.53;18.28;85.1;95.2;44.3;55.22;19.78021978;13;70.10823443
Uganda;0.672;86.10030448;88.6196612;10.77810249;19.52795629;38.35;23.17;39.7;71.3;65.06;66.88;33.81294964;22.1;35.04728008
Zambia;0.637;86.14348636;88.17799816;20.48761047;16.88218549;36.17;26.53;55.8;84.2;44.98;52.48;14.97005988;7.1;43.28376768
Zimbabwe;0.655;86.16196877;89.03699582;18.6360029;24.52087957;35.56;25.3;59.77;96.54;53.98;65.86;33.62573099;12;33.98756005
Bangladesh;0.527;85.11171557;88.01884426;28.88113107;38.01313334;44.55;9.81;42.7;98.4;43.46;62.86;20.85714286;23.4;10.73910075
Benin;0.497;86.15741892;89.00937979;22.4;35.8;40.68;28.96;68.9;98.5;39.79;58.17;25.68807339;3.5;13.7466837
Burkina Faso;0.595;86.25076179;88.89048553;5.268700243;12.802007;49.1;30.45;56.5;87.9;30.68;42.35;16.90140845;12.7;58.1103269
Côte d'Ivoire;0.594;85.79841498;88.29824819;16.51659811;20.0488546;31.46;11.88;64.8;88.9;37.44;64.01;15.86402266;15;30.7159724
Egypt;0.534;85.89509385;89.50859182;72.34722657;69.36595011;42.16;16.75;22.5;96.7;24.2;30.57;22.86995516;— ;12.36658277
Gambia;0.524;85.35545408;88.96127526;14.7572155;26.10256577;29.72;29.14;55.4;90.3;24.76;32.69;8.620689655;13.8;19.57342813
Ghana;0.563;86.15020652;88.80170824;26.09751145;37.40196778;25.25;20.76;80.9;95.6;62.58;74.18;14.54545455;3.8;33.72545577
Guatemala;0.575;85.4437635;87.68476002;23.72038714;27.38774953;45.75;9.51;38.7;99.3;42.09;46.36;19.375;11.4;36.75253526
