;;;;;;;;;participation in decisionmaking;participation in decisionmaking;
;WEI;life and good health;life and good health;education, skill-building and knowledge;education, skill-building and knowledge;labour and financial inclusion;labour and financial inclusion;participation in decisionmaking;share of seats held by women;share of managerial positions held by women;freedom from violence
country;value;women of reproductive age whose need for family planning is satisfied with modern methods;adolescent birth rate;population with completed secondary education or higher, female ;youth not in education, employment or training, female ;labour force participation rate among prime-working-age individuals who are living in a household comprising a couple and at least one child under age 6, female;account ownership at a financial institution or with a mobile-money-service provider, female;share of seats held by women;in parliament ;in local government ;ever-partnered women and girls subjected to physical and/or sexual violence by a current or former intimate partner in the previous 12 months 
Qatar;..;64.5;6.896;60.10435104;30.7;..;61.57;4.444444444;— ;10.74793061;17.96890441
Russian Federation;..;74.5;14.471;86.60259693;14.59;66.39;90.11;17.77059774;..;46.18213723;7.949811664
Saint Kitts and Nevis;..;75.1;36.756;..;20;..;..;31.25;— ;..;16.20837557
Saint Lucia;..;75.4;36.264;43.98988513;23.47;69.7;..;24.13793103;— ;47.30400851;16.24417142
Saint Vincent and the Grenadines;..;79.4;46.51;..;37;..;..;18.18181818;— ;..;16.13962493
Samoa;..;31.2;43.766;74.63024139;35.57;51.8;..;12.96296296;— ;42.99648849;18
San Marino;..;80.1;3.65;56.03610992;..;..;..;33.33333333;— ;..;6.490111771
Sao Tome and Principe;..;60.1;77.367;31.7743206;..;..;..;14.54545455;23.9;24.3537415;18
Saudi Arabia;..;47.4;11.577;58.82992935;23.86;42.6;63.49;19.86754967;1.2;..;17.92049332
Seychelles;..;56.6;52.121;..;22.15;79.5;..;22.85714286;— ;41.81313599;13.2697296
Solomon Islands;..;53.3;59.426;..;8.94;90;..;8;..;25.6580969;28
Somalia;..;7.6;116.067;..;49.73;..;33.66;20.73170732;— ;29.39464907;26.95334841
South Sudan;..;20.9;97.418;10.85494041;..;..;4.19;32.33438486;— ;..;27
Sudan;..;35.2;77.58;11.1;46.42;..;9.98;31.04166667;— ;..;17
Suriname;..;68.9;55.223;26.24708939;21.85;62.8;..;29.41176471;33.1;43.24558866;8
Syrian Arab Republic;..;61.9;38.129;18.88232994;..;..;19.59;10.8;7.1;..;18.1386096
Tajikistan;..;55.3;44.923;75.98764094;52.37;..;39.41;26.59574468;..;..;14
Timor-Leste;..;53;33.265;26.47274934;32.56;79.9;..;40;3.9;13.27393192;28
Tonga;..;49.1;19.245;68.40386395;23.28;..;..;7.142857143;— ;35.68075117;17
Trinidad and Tobago;..;65.6;37.73;80.11173863;17.45;57;73.6;33.78378378;..;43.6187399;7
Turkmenistan;..;76.4;21.184;..;19.3;..;35.52;25.86206897;21.9;..;7.138011058
Tuvalu;..;45.1;31.678;..;45.78;..;..;6.25;12.5;35.88957055;20
Ukraine;..;74.2;15.175;89.3336622;19.65;..;80.69;20.43269231;29.8;41.00031674;9
Uzbekistan;..;83.9;15.693;95.01287842;38.2;..;38.82;30;..;..;7.235239028
Vanuatu;..;60.9;63.164;..;38.7;66.7;..;1.923076923;10.1;37.10473405;29
Venezuela (Bolivarian Republic of);..;82.2;82.006;65.1763916;30.1;56.7;79.67;22.15568862;..;32.75848188;8
