country;wei;weg;ggpi;gender_parity_group;human_development_group;sustainable_development_goal_regions;family;birth_rate;education;youth_not_in_education ;labour_force_participation_rate;account_ownership;politics;managerial_positions;violence;good_health_female;good_health_male;secondary_education_female;secondary_education_male;youth_not_in_education_female;youth_not_in_education_male;labour_force_participation_female;labour_force_participation_male;account_ownershipt_female;account_ownershipt_male
Gambia;0.43;Low;0.52;Low;Low;Sub-Saharan Africa;43.9;60.68;14.76;29.72;55.4;24.8;8.6;19.57;10;85.36;88.96;14.76;26.1;29.72;29.14;55.4;90.3;24.76;32.69
Germany;0.76;Upper-middle;0.78;Upper-middle;Very high;Europe and Northern America;87.3;7.19;80.74;7.66;70.1;100;35.5;29.21;5.4;85.06;88.5;80.74;86.81;7.66;7.39;70.1;94.2;100;99.95
Ghana;0.52;Low;0.56;Low;Medium;Sub-Saharan Africa;49.8;63.41;26.1;25.25;80.9;62.6;14.5;33.73;10;86.15;88.8;26.1;37.4;25.25;20.76;80.9;95.6;62.58;74.18
Greece;0.68;Lower-middle;0.7;Upper-middle;Very high;Europe and Northern America;66;8.32;62.29;12.03;69.6;93.4;21;29.6;5;86;88.83;62.29;68.5;12.03;12.07;69.6;95.9;93.43;96.33
Guatemala;0.48;Low;0.58;Low;Medium;Latin America and the Caribbean;70.7;63.16;23.72;45.75;38.7;42.1;19.4;36.75;7;85.44;87.68;23.72;27.39;45.75;9.51;38.7;99.3;42.09;46.36
Guinea;0.4;Low;0.55;Low;Low;Sub-Saharan Africa;40.7;112.23;3.67;41.49;65;24;29.6;23.38;21;86.26;88.88;3.67;12.36;41.49;24.84;65;98.3;24.01;36.91
Honduras;0.54;Low;0.72;Upper-middle;Medium;Latin America and the Caribbean;79.2;71.33;28.35;40.93;50.6;28.9;27.3;40.09;7;86.52;88.66;28.35;24.5;40.93;12.24;50.6;94.9;28.85;48.56
Hungary;0.71;Upper-middle;0.72;Upper-middle;Very high;Europe and Northern America;79.2;21.89;76.37;13.17;76.5;86.9;13.1;36.6;6;87.02;88.88;76.37;84.16;13.17;8.18;76.5;97.5;86.88;89.73
Iceland;0.82;High;0.91;High;Very high;Europe and Northern America;80.1;5.08;73.83;4.64;68.2;100;47.6;37.57;3;86.17;88.72;73.83;74.44;4.64;5.1;68.2;91.2;100;100
India;0.52;Low;0.56;Low;Medium;Central Asia and Southern Asia;77.5;16.3;24.92;43.53;27.1;77.6;14.7;15.93;18;83.68;86.71;24.92;38.65;43.53;13.72;27.1;97.3;77.55;77.51
Indonesia;0.57;Low;0.65;Lower-middle;High;Eastern Asia and South-Eastern Asia;81.2;32.94;34.63;27.19;55;52.3;21.6;31.66;9;87.02;89.23;34.63;41.63;27.19;17.68;55.01;98.99;52.3;51.18
Iran (Islamic Republic of);0.45;Low;0.39;Low;High;Central Asia and Southern Asia;76.5;29.66;54.32;39.01;10.3;85.1;5.6;18.98;18;84.11;87.15;54.32;51.55;39.01;16.94;10.3;96.9;85.08;94.84
Iraq;0.36;Low;0.49;Low;Medium;Northern Africa and Western Asia;58;61.15;31.05;52.71;9.7;14.9;28.9;15;16.6;84.97;88.13;31.05;36.46;52.71;22.12;9.7;95.5;14.89;22.21
Ireland;0.76;Upper-middle;0.78;Upper-middle;Very high;Europe and Northern America;88.4;5.87;75.71;6.83;71.8;99.5;27.4;38.01;3;85.57;88.18;75.71;70.28;6.83;8.6;71.8;92.9;99.53;99.8
Israel;0.69;Lower-middle;0.71;Upper-middle;Very high;Northern Africa and Western Asia;68.6;7.42;85;17.18;76.7;91.9;24.2;29.05;6;86.23;89.08;85;86.04;17.18;16.34;76.7;91.7;91.93;93.97
Italy;0.7;Upper-middle;0.77;Upper-middle;Very high;Europe and Northern America;74.1;3.9;51.77;20;59.6;97.1;33;28.61;4;85.5;87.95;51.77;53.2;20;19.53;59.6;94.1;97.09;97.48
Jamaica;0.69;Lower-middle;0.82;High;High;Latin America and the Caribbean;79.1;32.02;63.1;31.53;78.8;71.6;31;56.69;7;86.57;88.66;63.1;58.4;31.53;27.86;78.8;89;71.55;75.11
Japan;0.65;Lower-middle;0.63;Lower-middle;Very high;Eastern Asia and South-Eastern Asia;68;2.81;91.6;3.76;65.4;98.8;15.5;12.9;4;86.82;89.14;91.6;86.6;3.76;2.73;65.4;80.6;98.84;98.12
Jordan;0.49;Low;0.56;Low;High;Northern Africa and Western Asia;57;24.87;49.86;38.29;9.9;34.1;13.3;57.24;13;85.26;88.35;49.86;50.64;38.29;28.33;9.86;76.16;34.06;58.6
Kenya;0.59;Low;0.77;Upper-middle;Medium;Sub-Saharan Africa;77.2;62.61;22.6;24.29;67.1;75.4;24.6;49.62;23;86.1;88.56;22.6;29.6;24.29;14.97;67.1;94.7;75.36;83.24
Lao People's Democratic Republic;0.58;Low;0.84;High;Medium;Eastern Asia and South-Eastern Asia;71.5;71.78;16.7;27.88;69.9;37.9;22;59.04;8;87.23;89.44;16.7;17.1;27.88;23.61;69.9;85.5;37.85;36.75
